ЛучшаяПамять;4

Метрики
Память;MAE;MSE;RMSE;MAPE
2023-11-27;7222,5;6126,678282518154
2023-11-28;7238;6216,054455535139
2023-11-29;7202;6306,7344509392
2023-11-30;7239;6398,737288931803
2023-12-01;7175,5;6492,082267181704
2023-12-04;7132,5;6586,78896487265
2023-12-05;7248,5;6488,803412225032
2023-12-06;7138;6583,462277878062
2023-12-07;7092;6485,526213268606
2023-12-08;7140;6389,0470526932795
2023-12-11;6977;6482,250669476054
2023-12-12;7014,5;6385,820236128889
2023-12-13;7043,5;6478,97678001143
2023-12-14;6860;6573,492294448613
2023-12-15;6560;6669,3866041450865
2023-12-18;6723,5;6570,1723229964255
2023-12-19;6709;6666,01820084627
2023-12-20;6735;6566,854028310551
2023-12-21;6702;6662,651498774486
2023-12-22;6732,5;6759,846465712033
2023-12-25;6744;6858,459315845141
2023-12-26;6771;6756,43237525873
2023-12-27;6768;6655,923194875601
2023-12-28;6767;6753,020009106959
2023-12-29;6739;6652,561591331378
2024-01-03;6803,5;6749,6093663858555
2024-01-04;6771;6649,201685579941
2024-01-05;6780;6746,200446224993
2024-01-08;6766,5;6645,843476763814
2024-01-09;6931;6546,97942489376
2024-01-10;6957;6547,020272304313
2024-01-11;6972,5;6642,528407319796
2024-01-12;6965;6739,429817974386
2024-01-15;6889,5;6639,173568872466
2024-01-16;6857;6540,408739038267
2024-01-17;6910;6635,82042480118
2024-01-18;6857,5;6537,105476582543
2024-01-19;6834,5;6439,859019127367
2024-01-22;6840;6344,0592070600405
2024-01-23;6799,5;6249,68451997835
2024-01-24;6795;6340,855111806713
2024-01-25;6809;6246,528089079507
2024-01-26;6901;6337,65263479591
2024-01-29;6943;6430,106508214615
2024-01-30;6994;6523,909101609419
2024-01-31;7090,5;6619,08009014921
2024-02-01;7093,5;6715,639436024851
2024-02-02;7114;6615,7370943785145
2024-02-05;7137,5;6517,3209072468
2024-02-06;7163;6612,395787002668
2024-02-07;7265;6708,857622056462
2024-02-08;7231,5;6806,726645355133
2024-02-09;7238,5;6906,023385004491
2024-02-12;7280;6803,288877859078
2024-02-13;7269;6902,535467249461
2024-02-14;7220,5;6799,852846622751
2024-02-15;7282,5;6698,697740143385
2024-02-16;7224,5;6796,418550769247
2024-02-19;7188;6895,564915614723
2024-02-20;7081;6792,985989422104
2024-02-21;6990,5;6892,0822799560665
2024-02-22;7021,5;6992,62419025325
2024-02-26;7164;6888,601403218003
2024-02-27;7141,5;6786,126066743257
2024-02-28;7261,5;6885,122284512183
2024-02-29;7378;6985,5626621797255
2024-03-01;7463,5;7087,468267195328
2024-03-04;7511,5;6982,034572759816
2024-03-05;7499,5;7083,888709897414
2024-03-06;7483;6978,508265217122
2024-03-07;7513;6874,695467711397
2024-03-11;7554,5;6974,9837386517
2024-03-12;7536,5;6871,2233722600095
2024-03-13;7426;6971,46099216406
2024-03-14;7370;6867,753030405836
2024-03-15;7380;6967,940024855166
2024-03-18;7344;7069,588550290299
2024-03-19;7333,5;7172,719927570638
2024-03-20;7438,5;7066,018023222747
2024-03-21;7417,5;7169,0973135433605
2024-03-22;7303;7273,680327751754
2024-03-25;7438;7165,476529133372
2024-03-26;7419;7270,006723226368
2024-03-27;7493;7161,857573416617
2024-03-28;7481;7266,334974071249
2024-03-29;7551;7158,240445469504
2024-04-01;7665;7051,753938952528
2024-04-02;7654;7154,625144368912
2024-04-03;7686,5;7048,192419334569
2024-04-04;7727,5;6943,342995274025
2024-04-05;7662,5;7044,632698477898
2024-04-08;7767;7147,4000190171255
2024-04-09;7786,5;7251,666512419275
2024-04-10;7825;7357,45404866462
2024-04-11;7836,5;7248,004026069006
2024-04-12;7839,5;7140,182189985593
2024-04-15;7920,5;7033,964319393174
2024-04-16;7897;7136,576009287063
2024-04-17;7886;7030,411784501513
2024-04-18;7840;6925,826866460492
2024-04-19;7835,5;6822,7977612817795
2024-04-22;7827,5;6721,301324579857
2024-04-23;7840;6621,31475626677
2024-04-24;7820,5;6621,356067464606
2024-04-25;7827,5;6621,397378920187
2024-04-26;7929,5;6522,896988983142
2024-04-27;8002,5;6618,053212792515
2024-04-29;8152;6714,597578549393
2024-04-30;8085,5;6812,550336511607
2024-05-02;8104,5;6911,93203234838
2024-05-03;8075,5;7012,763511449792
2024-05-06;8026,5;7115,065923299124
2024-05-07;7722,5;7009,221684120258
2024-05-08;7714;7111,4724276825345
2024-05-10;7713,5;7215,214808266754
2024-05-13;7689;7107,880746976852
2024-05-14;7672;7211,570732011415
2024-05-15;7655,5;7211,615725888943
2024-05-16;7715;7104,335204810774
2024-05-17;7854,5;6998,650596582132
2024-05-20;7834,5;6894,538160287168
2024-05-21;7848;6995,115897042876
2024-05-22;7820;6891,056043195846
2024-05-23;7841,5;6788,544191317909
2024-05-24;7720;6687,557313218966
2024-05-27;7541,5;6785,115606950947
2024-05-28;7590;6684,1797327229015
2024-05-29;7684;6781,688754205733
2024-05-30;7567;6680,803858088854
2024-05-31;7355,5;6778,263632207705
2024-06-03;7252;6677,429688455271
2024-06-04;7426;6774,84024008274
2024-06-05;7412,5;6674,057222961033
2024-06-06;7398;6574,773461346499
2024-06-07;7489;6574,814482167467
2024-06-10;7315;6670,728079979436
2024-06-11;7290;6571,493842938505
2024-06-13;7178,5;6473,735821639398
2024-06-14;7368;6568,174880813121
2024-06-17;7203;6470,466232636457
2024-06-18;7036;6374,211105430497
2024-06-19;6885;6279,387876511356
2024-06-20;7112,5;6370,991781827102
2024-06-21;7084;6276,216443800491
2024-06-24;7051,5;6182,850990609029
2024-06-25;7204;6090,8744487031645
2024-06-26;7275;6179,728314280757
2024-06-27;7227;6087,798225535515
2024-06-28;7211;6176,607215074022
2024-07-01;7326;6084,723556028026
2024-07-02;7309,5;6173,4876921922905
2024-07-03;7230,5;6081,650439396015
2024-07-04;7109,5;5991,179364264892
2024-07-05;7201;6078,578874855195
2024-07-08;7097;5988,153492542018
2024-07-09;6941;5899,0732848058
2024-07-10;6689;5811,318240731503
2024-07-11;6969,5;5896,093931667064
2024-07-12;6908;5808,383208667176
2024-07-15;6827;5721,9772767744735
2024-07-16;6881;5636,856725821359
2024-07-17;6814;5719,087366760431
2024-07-18;6931,5;5634,0098063192845
2024-07-19;6913;5716,198916308264
2024-07-22;7008;5799,5870035857115
2024-07-23;6973;5884,191558869538
2024-07-24;6939,5;5970,0303280327935
2024-07-25;6902,5;5881,219721812523
2024-07-26;6890;5967,015137724516
2024-07-29;6727,5;6054,062139827755
2024-07-30;6805,5;6142,378986300461
2024-07-31;6759,5;6051,004508880051
2024-08-01;6687;6139,276750537553
2024-08-02;6591;6047,948422202425
2024-08-05;6417,5;6136,176081572584
2024-08-06;6447;6225,690808777078
2024-08-07;6505;6133,076978614234
2024-08-08;6410,5;6041,840878538039
2024-08-09;6408,5;6129,979440871584
2024-08-12;6448,5;6038,7894199925795
2024-08-13;6444,5;6126,883467554117
2024-08-14;6385;6035,7395025997985
2024-08-15;6347;5945,951401910173
2024-08-16;6239,5;6032,69112558133
2024-08-19;6138,5;5942,948372770379
2024-08-20;6147,5;6029,644288159202
2024-08-21;6309,5;6117,6049262536
2024-08-22;6419;6206,8487368676715
2024-08-23;6428;6297,394438961976
2024-08-26;6645;6203,713940371165
2024-08-27;6526,5;6111,427039704271
2024-08-28;6389;6020,51300569702
2024-08-29;6324;5930,951415484938
2024-08-30;6145;6017,472318888378
2024-09-02;6115;6105,255391917118
2024-09-03;6184;6194,31904714084
2024-09-04;6265;6102,171905590284
2024-09-05;6272;6011,395551632572
2024-09-06;6332;5921,969593331579
2024-09-09;6520;5833,873942103105
2024-09-10;6435;5918,978676310624
2024-09-11;6413,5;6005,32492102324
2024-09-12;6448;5915,989269865582
2024-09-13;6624,5;6002,291905024157
2024-09-16;6820,5;5913,00137323353
2024-09-17;6803;5825,039133900786
2024-09-18;6745,5;5910,01498565193
2024-09-19;6811;5822,09717203848
2024-09-20;6897,5;5907,03010635863
2024-09-23;6982,5;5819,1566960270675
2024-09-24;6954,5;5732,59049695129
2024-09-25;6867;5816,2177051161125
2024-09-26;6890;5729,695226683303
2024-09-27;6914,5;5813,280198555558
2024-09-30;6874;5726,801418684411
2024-10-01;6969;5810,3441755957265
2024-10-02;6816,5;5895,105656838843
2024-10-03;6956;5981,103641202154
2024-10-04;7009;6068,35616683157
2024-10-07;7055;6156,881535014033
2024-10-08;6973,5;6065,2913166221
2024-10-09;6883,5;6153,771974674544
2024-10-10;6857;6062,228014328827
2024-10-11;6837;6150,663984832303
2024-10-14;6931,5;6240,390062019395
2024-10-15;6991;6147,557564694123
2024-10-16;6980;6056,106050364145
2024-10-17;6931,5;5966,014975425784
2024-10-18;6963;5877,264101883509
2024-10-21;7020;5963,001813089157
2024-10-22;6950;5874,295763569384
2024-10-23;6920;5959,990172563538
2024-10-24;6958,5;5871,328924427695
2024-10-25;6750,5;5956,980053080331
2024-10-28;6733,5;5868,36358370128
2024-10-29;6837;5781,065379378555
2024-10-30;6792;5865,399740633357
2024-10-31;6794,5;5778,145626656098
2024-11-01;6844,5;5692,1895112369275
2024-11-02;6842;5775,227348567709
2024-11-05;6873;5689,314645666048
2024-11-06;6996,5;5772,310544368618
2024-11-07;7132;5856,51718981846
2024-11-08;7172;5941,952244426717
2024-11-11;7022,5;6028,633628264332
