ЛучшаяПамять;6

Метрики
Память;MAE;MSE;RMSE;MAPE
1;12570651,645312134;670633202398842,8;25896586,6939804;798,0204387118661
2;805189,7961994999;1488171127240,1587;1219906,1960823704;50,91472611029979
3;155602,09476196865;47058513836,04145;216929,74400953285;9,918500662786014
4;26456,02350122763;948505022,4038477;30797,808727307984;1,6938464080131053
5;13500,134226873022;223918245,825098;14963,89808255516;0,8685670747972182
6;3100,772070046992;18314899,932492178;4279,591094075715;0,20244276233279987
7;34148,483989006556;2318609338,714543;48151,94013447997;2,175772179199244
8;295939,46226257563;284009041979,1477;532924,9871972111;18,77977329560609

Прогнозная цена
Дата;Изначальная цена;Прогнозная цена
2023-04-07;15430;16391,69619667413
2023-04-10;15500;16166,528015104212
2023-04-11;15360;16392,850317380067
2023-04-12;15404;16622,3410046338
2023-04-13;15404;16394,004519346334
2023-04-14;15786;16623,51136477862
2023-04-17;15900;16395,158802578648
2023-04-18;15908;16624,681807327168
2023-04-19;15918;16396,31316708273
2023-04-20;15802;16625,85233228525
2023-04-21;15798;16858,60491673787
2023-04-24;15700;17094,61590650329
2023-04-25;15538;17333,930917423797
2023-04-26;15330;17095,819518987384
2023-04-27;15370;17335,151379805913
2023-04-28;14572;17097,023216216465
2023-05-02;14542;17097,339302591856
2023-05-03;14440;16862,477897508616
2023-05-04;14470;17098,543106827172
2023-05-05;14352;16863,665165419236
2023-05-08;14218;16632,01367710823
2023-05-10;14604;16403,544321003377
2023-05-11;14476;16633,184718294928
2023-05-12;14544;16404,69927592229
2023-05-15;14768;16634,35584193331
2023-05-16;14762;16405,854312160263
2023-05-17;14778;16635,527048029177
2023-05-18;14736;16407,009429723028
2023-05-19;14730;16636,69833658833
2023-05-22;14602;16869,602759002824
2023-05-23;14648;17105,76771237621
2023-05-24;14696;17345,238842308623
2023-05-25;14562;17588,062433412924
2023-05-26;14670;17834,285418260537
2023-05-29;14654;17589,300788906352
2023-05-30;14574;17347,68144541657
2023-05-31;14580;17109,381159793218
2023-06-01;14576;17348,902875957738
2023-06-02;14782;17591,777761472957
2023-06-05;14764;17838,052758824397
2023-06-06;14644;18087,77546766599
2023-06-07;14628;18340,994154020056
2023-06-08;14738;18597,757759606095
2023-06-09;14840;18858,115911300152
2023-06-13;15094;19122,11893072664
2023-06-14;15052;19389,817843984416
2023-06-15;15286;19123,465297395138
2023-06-16;15362;18860,77156181922
2023-06-19;15510;18601,686377185175
2023-06-20;15332;18862,0995273164
2023-06-21;15306;18602,996100788863
2023-06-22;15178;18863,427586314123
2023-06-23;14988;19127,50496620422
2023-06-26;14862;18864,755738818974
2023-06-27;14842;18605,615824651188
2023-06-28;14934;18866,083984837533
2023-06-29;14882;18866,43277725766
2023-06-30;14726;19130,55222813124
2023-07-03;14702;18867,761141354593
2023-07-04;14744;18608,579942806246
2023-07-05;14868;18869,08959898013
2023-07-06;15162;18609,890151778058
2023-07-07;15080;18354,25125544822
2023-07-10;15264;18102,12399969142
2023-07-11;15302;17853,460146075664
2023-07-12;15454;17608,21211880692
2023-07-13;15540;17854,71718792051
2023-07-14;15504;18104,673189399557
2023-07-17;15774;17855,97431827224
2023-07-18;16336;17610,69175451778
2023-07-19;16546;17368,778569269893
2023-07-20;15904;17611,931703315997
2023-07-21;16082;17370,00148523558
2023-07-24;16126;17131,394595419573
2023-07-25;16260;16896,065382229906
2023-07-26;16170;17132,600797449366
2023-07-27;16190;16897,25501499717
2023-07-28;16236;17133,807084406475
2023-07-31;16712;17373,670749781646
2023-08-01;17000;17616,892371604194
2023-08-02;16560;17374,89401020021
2023-08-03;16650;17136,219913126555
2023-08-04;16338;16900,824415886687
2023-08-07;16154;16668,662481264582
2023-08-08;16106;16902,0143837321
2023-08-09;16192;16669,836102851947
2023-08-10;16464;16440,847190581273
2023-08-11;16460;16215,003835448617
2023-08-14;16280;15992,26282780854
2023-08-15;16170;15772,58155157451
2023-08-16;15908;15555,917976065353
2023-08-17;15924;15773,69208112169
2023-08-18;16198;15557,013250576341
2023-08-21;16262;15557,300865552825
2023-08-22;16270;15775,09433028443
2023-08-23;16010;15775,385977100676
2023-08-24;16082;15996,232510771479
2023-08-25;16144;15776,49670410427
2023-08-28;16780;15559,779347231359
2023-08-29;16628;15346,038976545613
2023-08-30;16680;15560,874893617101
2023-08-31;16832;15347,119473714694
2023-09-01;16786;15136,300352693297
2023-09-04;17112;15348,200046960355
2023-09-05;17060;15137,366082404167
2023-09-06;16900;15349,280696287951
2023-09-07;16466;15564,161995613114
2023-09-08;16320;15350,361421702837
2023-09-11;16250;15565,25785057615
2023-09-12;16470;15783,162708624117
2023-09-13;16392;16004,118112163635
2023-09-14;16300;16228,166767116358
2023-09-15;16436;16005,244943936987
2023-09-18;16308;16229,309373900955
2023-09-19;15998;16006,371855049283
2023-09-20;16190;16230,452061135196
2023-09-21;16018;16457,669264112985
2023-09-22;15992;16231,594828824747
2023-09-25;15872;16458,828029907647
2023-09-26;15946;16689,24236803955
2023-09-27;16074;16922,88237735049
2023-09-28;16304;17159,793215423273
2023-09-29;16188;16924,073898271905
2023-10-02;16172;17161,001416967632
2023-10-03;16168;17401,245787708132
2023-10-04;16030;17162,209703580094
2023-10-05;16172;16926,45719180155
2023-10-06;16268;17163,418075266643
2023-10-09;16256;17403,696277864517
2023-10-10;16294;17647,338240197805
2023-10-11;16126;17404,9216523464
2023-10-12;16278;17165,835073885963
2023-10-13;16284;17166,152432441333
2023-10-16;16432;17166,469796863967
2023-10-17;16520;17166,787167153972
2023-10-18;16472;17407,112535143933
2023-10-19;16788;17167,995861134532
2023-10-20;17122;17408,33815016061
2023-10-23;17108;17169,20464021786
2023-10-24;17196;16933,356040935985
2023-10-25;17460;16700,747228408873
2023-10-26;17250;16934,548299296155
2023-10-27;17506;17171,622453716795
2023-10-30;17572;17412,015512999904
2023-10-31;17574;17172,831488144388
2023-11-01;17804;16936,93306785908
2023-11-02;18078;16704,275118705835
2023-11-03;17898;16938,125578073654
2023-11-06;17764;17175,249812385784
2023-11-07;17690;17415,69365265071
2023-11-08;17460;17659,503571485253
2023-11-09;17412;17906,72669209675
2023-11-10;17344;18157,410797390938
2023-11-13;17410;18411,604339207377
2023-11-14;17178;18669,356447684127
2023-11-15;17136;18930,716940753562
2023-11-16;17008;18670,670935860595
2023-11-17;17168;18932,049831025404
2023-11-20;17098;18671,985516588684
2023-11-21;17250;18415,493633465376
2023-11-22;17218;18162,525108157963
2023-11-23;17304;18416,79024744952
2023-11-24;17096;18163,803910915645
2023-11-27;17052;18418,086952726782
2023-11-28;17056;18675,929814147832
2023-11-29;16922;18937,38233065176
2023-11-30;16736;19202,49503538013
2023-12-01;16646;19202,85004730106
2023-12-04;16668;18939,065825446833
2023-12-05;16804;19204,202098155758
2023-12-06;16412;19204,557141636527
2023-12-07;16912;19473,410143494602
2023-12-08;16776;19205,909312685795
2023-12-11;16660;18942,083066551993
2023-12-12;16478;19207,261578939888
2023-12-13;16600;18943,41675709984
2023-12-14;16646;18683,196298354225
2023-12-15;16988;18426,550415833062
2023-12-18;17150;18684,511760978858
2023-12-19;17202;18946,08441991306
2023-12-20;17114;19211,318948998174
2023-12-21;17082;19211,67412405387
2023-12-22;17122;18947,768688306176
2023-12-25;17130;19213,026796201782
2023-12-26;16360;19481,998368461547
2023-12-27;16310;19754,735391498605
2023-12-28;16156;20031,29057950664
2023-12-29;16172;19756,126299973366
2024-01-03;16356;19484,74187578344
2024-01-04;16296;19485,102105827995
2024-01-05;16280;19757,88257944305
2024-01-08;16426;20034,48182631274
2024-01-09;16384;19759,27370950774
2024-01-10;16376;19487,84605022652
2024-01-11;16276;19760,664937520316
2024-01-12;16234;20037,303135838654
2024-01-15;16226;19762,056263487673
2024-01-16;16192;20038,71393958726
2024-01-17;16202;20319,244667596235
2024-01-18;16156;20603,702668063637
2024-01-19;16052;20604,083585233464
2024-01-22;16076;20892,52917039173
2024-01-23;16078;21185,012831558233
2024-01-24;16002;21481,59109952661
2024-01-25;15986;21782,321296489812
2024-01-26;16056;22087,26154711927
2024-01-29;16026;22396,470789799125
2024-01-30;16036;22396,884851310533
2024-01-31;15946;22710,428646157518
2024-02-01;15992;23028,36187783644
2024-02-02;15950;22712,027661636253
2024-02-05;15950;22712,447557100542
2024-02-06;15944;22400,452968250604
2024-02-07;15960;22714,04671472851
2024-02-08;15742;23032,030597333098
2024-02-09;15728;23354,46607550171
2024-02-12;15546;23681,41546906925
2024-02-13;15380;23356,110436924133
2024-02-14;15186;23035,274029725744
2024-02-15;15172;23357,754914124173
2024-02-16;15036;23684,750349583213
2024-02-19;14924;23359,399507109985
2024-02-20;14480;23038,51791886725
2024-02-21;14438;22722,044191949964
2024-02-22;14372;22409,917776790393
2024-02-26;14744;22723,644025266087
2024-02-27;14514;23041,762264821933
2024-02-28;14602;23364,333980863576
2024-02-29;14568;23043,38460912432
2024-03-01;14602;22726,8440298336
2024-03-04;15008;23045,00706765413
2024-03-05;14946;23367,62420911097
2024-03-06;15084;23694,75780915063
2024-03-07;15098;23369,26949698263
2024-03-11;15028;23048,25232742817
2024-03-12;15028;22731,644881642016
2024-03-13;14998;23049,875128688494
2024-03-14;15018;23372,560420262656
2024-03-15;15070;23699,76312448296
2024-03-18;14964;24031,54648258645
2024-03-19;14776;24367,974621151934
2024-03-20;14804;24709,112564494262
2024-03-21;14930;25055,02624723213
2024-03-22;14798;25405,78252703183
2024-03-25;15138;25056,790343164168
2024-03-26;15136;24712,5921680727
2024-03-27;15300;25058,554563304195
2024-03-28;15208;25059,017840892597
2024-03-29;15110;25409,830000759193
2024-04-01;15054;25765,553333613163
